Species_name,Taxonomic_group
ACTINIARIA,Anemone
BIVALVIA,Bivalve
BRACHIOPODA,Brachiopod
PRIMNOA,Coral
STYLASTERIAS.FORRERI,Coral
CANCER.PRODUCTUS,Crab
CHIONOECETES.BAIRDI,Crab
CHORILIA.LONGIPES,Crab
DECAPODA,Crab
LOPHOLITHODES.FORAMINATUS,Crab
OREGONIA,Crab
PUGETTIA,Crab
PUGETTIA.GRACILIS,Crab
EUPHAUSIA,Euphausid
EUPHAUSIACEA,Euphausid
ALOSA.SAPIDISSIMA,Fish
AMMODYTES.PERSONATUS,Fish
ANOPLOPOMA.FIMBRIA,Fish
ATHERESTHES.STOMIAS,Fish
BATHYAGONUS.NIGRIPINNIS,Fish
BATHYRAJA.INTERRUPTA,Fish
BERINGRAJA.BINOCULATA,Fish
CAREPROCTUS.GILBERTI,Fish
CLUPEA.PALLASII,Fish
COTTIDAE,Fish
DASYCOTTUS.SETIGER,Fish
ENGRAULIS.MORDAX,Fish
GADUS.CHALCOGRAMMUS,Fish
GADUS.MACROCEPHALUS,Fish
GLYPTOCEPHALUS.ZACHIRUS,Fish
HEMILEPIDOTUS.HEMILEPIDOTUS,Fish
HIPPOGLOSSOIDES.ELASSODON,Fish
HIPPOGLOSSUS.STENOLEPIS,Fish
LEPIDOPSETTA.BILINEATA,Fish
LEPTOCOTTUS.ARMATUS,Fish
LEUROGLOSSUS.SCHMIDTI,Fish
LIPARIDAE,Fish
LIPARIS.DENNYI,Fish
LIPARIS.PULCHELLUS,Fish
LIPARIS.RUTTERI,Fish
LYCODES.BREVIPES,Fish
LYCODES.DIAPTERUS,Fish
LYCODES.PACIFICUS,Fish
LYCODES.PALEARIS,Fish
MALACOCOTTUS.KINCAIDI,Fish
MALACOCOTTUS.ZONURUS,Fish
MERLUCCIUS.PRODUCTUS,Fish
MICROSTOMUS.PACIFICUS,Fish
ONCORHYNCHUS.KISUTCH,Fish
ONCORHYNCHUS.TSHAWYTSCHA,Fish
OPHIODON.ELONGATUS,Fish
OSMERIDAE,Fish
PLATICHTHYS.STELLATUS,Fish
PLEURONECTIFORMES,Fish
RAJA.RHINA,Fish
RAJIDAE,Fish
RONQUILUS.JORDANI,Fish
SEBASTES,Fish
SEBASTES.ALEUTIANUS.MELANOSTICTUS.COMPLEX,Fish
SEBASTES.ALUTUS,Fish
SEBASTES.BABCOCKI,Fish
SEBASTES.BREVISPINIS,Fish
SEBASTES.CAURINUS,Fish
SEBASTES.CRAMERI,Fish
SEBASTES.DIPLOPROA,Fish
SEBASTES.ELONGATUS,Fish
SEBASTES.FLAVIDUS,Fish
SEBASTES.MALIGER,Fish
SEBASTES.MINIATUS,Fish
SEBASTES.PAUCISPINIS,Fish
SEBASTES.PINNIGER,Fish
SEBASTES.PRORIGER,Fish
SEBASTES.RUBERRIMUS,Fish
SEBASTES.ZACENTRUS,Fish
SEBASTOLOBUS.ALASCANUS,Fish
SQUALUS.SUCKLEYI,Fish
THALEICHTHYS.PACIFICUS,Fish
ZAPRORA.SILENUS,Fish
AEQUOREA.VICTORIA,Jellyfish
AURELIA.AURITA,Jellyfish
CTENOPHORA,Jellyfish
CYANEA.CAPILLATA,Jellyfish
PHACELLOPHORA.CAMTSCHATICA,Jellyfish
SALPIDAE,Jellyfish
PHOCA.VITULINA,Marine mammal
MYTILIDAE,Mollusc
BENTHOCTOPUS.LEIODERMA,Octopus
ENTEROCTOPUS.DOFLEINI,Octopus
OCTOPODA,Octopus
OCTOPODIDAE,Octopus
INANIMATE.OBJECT.S.,Other
UNKNOWN,Other
APOSTICHOPUS.CALIFORNICUS,Sea cucumber
PTILOSARCUS.GURNEYI,SeaPen
ASTEROIDEA,Seastar
CERAMASTER.PATAGONICUS,Seastar
CROSSASTER.PAPPOSUS,Seastar
CTENODISCUS.CRISPATUS,Seastar
GEPHYREASTER.SWIFTI,Seastar
GORGONOCEPHALUS.EUCNEMIS,Seastar
HENRICIA.SPICULIFERA,Seastar
HIPPASTERIA.SPINOSA,Seastar
MEDIASTER,Seastar
MEDIASTER.AEQUALIS,Seastar
ORTHASTERIAS,Seastar
ORTHASTERIAS.KOEHLERI,Seastar
PISASTER,Seastar
PISASTER.BREVISPINUS,Seastar
PTERASTER.TESSELATUS,Seastar
PYCNOPODIA.HELIANTHOIDES,Seastar
CRANGON.ALASKENSIS,Shrimp
CRANGONIDAE,Shrimp
LEBBEUS.GROENLANDICUS,Shrimp
PANDALOPSIS.DISPAR,Shrimp
PANDALUS.BOREALIS,Shrimp
PANDALUS.DANAE,Shrimp
PANDALUS.HYPSINOTUS,Shrimp
PANDALUS.JORDANI,Shrimp
PANDALUS.PLATYCEROS,Shrimp
PANDALUS.STENOLEPIS,Shrimp
PANDALUS.TRIDENS,Shrimp
PARACRANGON.ECHINATA,Shrimp
BUCCINIDAE,Snail
FUSITRITON,Snail
TRITONIA.DIOMEDEA,Nudibranch
TURBINIDAE,Snail
PORIFERA,Sponge
BERRYTEUTHIS.MAGISTER,Squid
ROSSIA.PACIFICA,Squid
STRONGYLOCENTROTUS,Urchin
STRONGYLOCENTROTUS.DROEBACHIENSIS,Urchin
STRONGYLOCENTROTUS.PALLIDUS,Urchin
STRONGYLOCENTROTUS.PURPURATUS,Urchin
EUALUS.SUCKLEYI,Shrimp
BALTICINA.SEPTENTRIONALIS,SeaPen
LUMPENELLA.LONGIROSTRIS,Fish
CYMATOGASTER.AGGREGATA,Fish
DORYTEUTHIS.OPALESCENS,Squid
NECTOLIPARIS.PELAGICUS,Fish
LEPTOCLINUS.MACULATUS,Fish
MICROGADUS.PROXIMUS,Fish
HYDROLAGUS.COLLIEI,Fish
HOLOTHUROIDEA,Sea cucumber
DORIDIDAE,Nudibranch
EUALUS,Shrimp
ALLOCENTROTUS.FRAGILIS,Urchin
ALLOSMERUS.ELONGATUS,Fish
ANTEDONIDAE,Criniod
APHRODITA,Worm
APOSTICHOPUS.LEUKOTHELE,Sea cucumber
APRISTURUS.BRUNNEUS,Fish
ARTEDIUS.HARRINGTONI,Fish
BRISASTER.LATIFRONS,Urchin
BROSMOPHYCIS.MARGINATA,Fish
CALLIOSTOMA.ANNULATUM,Snail
CALLIOSTOMATIDAE,Snail
CHILARA.TAYLORI,Fish
CHITONOTUS.PUGETENSIS,Snail
CITHARICHTHYS.SORDIDUS,Fish
CRYPTACANTHODES.ALEUTENSIS,Fish
CYCLOSALPA.AFFINIS,Jellyfish
DENDROBRANCHIATA,Shrimp
DERMASTERIAS.IMBRICATA,Seastar
ENTOSPHENUS.TRIDENTATUS,Fish
EOPSETTA.JORDANI,Fish
EUALUS.BARBATUS,Shrimp
EUALUS.MACROPTHALMUS,Shrimp
GASTEROSTEIDAE,Fish
GASTEROSTEUS.ACULEATUS,Fish
GASTROPODA,Snail
HAPALOGASTER.MERTENSII,Crab
HEXANCHUS.GRISEUS,Fish
ICELINUS.FILAMENTOSUS,Fish
ICELINUS.TENUIS,Fish
ISOPODA,Isopod
ISOPSETTA.ISOLEPIS,Fish
LEBBEUS.GRANDIMANA,Shrimp
LUIDIA.FOLIOLATA,Seastar
LUMPENUS.SAGITTA,Fish
LYCODAPUS.MANDIBULARIS,Fish
LYOPSETTA.EXILIS,Fish
MESOCENTROTUS.FRANCISCANUS,Urchin
METACARCINUS.MAGISTER,Crab
MOLPADIA,Sea cucumber
MOLPADIA.INTERMEDIA,Sea cucumber
MUNIDA.QUADRISPINA,Crab
MYCTOPHIDAE,Fish
NEOCRANGON.COMMUNIS,Shrimp
NEREIDIDAE,Worm
OPHIUROIDEA,Worm
PAGUROIDEA,Crab
PARALIPARIS.DEANI,Fish
PAROPHRYS.VETULUS,Fish
PASIPHAEA.PACIFICA,Shrimp
PECTINIDAE,Bivalve
PHOLIDAE,Fish
PODOTHECUS.ACCIPENSERINUS,Fish
POLYNOE,Worm
PORICHTHYS.NOTATUS,Fish
POROCLINUS.ROTHROCKI,Fish
PSOLUS.CHITONOIDES,Sea cucumber
PSYCHROLUTES.PARADOXUS,Fish
PYROSOMA,Pyrosome
RADULINUS.ASPRELLUS,Fish
SCYPHOZOA,Jellyfish
SERGESTES.SIMILIS,Shrimp
SIPUNCULA,Worm
SOLASTER,Seastar
SOLASTER.STIMPSONI,Seastar
SPIRONTOCARIS.HOLMESI,Shrimp
SPIRONTOCARIS.LAMELLICORNIS,Shrimp
STICHAEIDAE,Fish
TARLETONBEANIA,Fish
TUNICATA,Tunicate
XENERETMUS.LATIFRONS,Fish
